id,type,readonly,group,name
0,8,0,radiotest,channel
1,0,0,radiotest,power
2,8,0,radiotest,contwave
3,8,0,activeMarker,front
4,8,0,activeMarker,back
5,8,0,activeMarker,left
6,8,0,activeMarker,right
7,8,0,activeMarker,mode
8,8,0,activeMarker,poll
9,8,1,deck,bcActiveMarker
10,8,1,deck,bcAI
11,8,1,deck,bcBuzzer
12,8,1,deck,bcFlow
13,8,1,deck,bcFlow2
14,8,1,deck,bcLedRing
15,8,1,deck,bcLighthouse4
16,8,1,deck,bcDWM1000
17,8,1,deck,bcLoco
18,8,1,deck,bcMultiranger
19,8,1,deck,bcOA
20,8,1,deck,bcUSD
21,8,1,deck,bcZRanger
22,8,1,deck,bcZRanger2
23,8,1,deck,bcColorLedBot
24,8,1,deck,bcColorLedTop
25,8,1,deck,bcCam
26,8,0,motion,disable
27,8,0,motion,adaptive
28,6,0,motion,flowStdFixed
29,8,0,ring,effect
30,10,1,ring,neffect
31,8,0,ring,solidRed
32,8,0,ring,solidGreen
33,8,0,ring,solidBlue
34,8,0,ring,headlightEnable
35,6,0,ring,emptyCharge
36,6,0,ring,fullCharge
37,10,0,ring,fadeColor
38,6,0,ring,fadeTime
39,8,0,system,highlight
40,8,0,system,storageStats
41,8,0,system,storageReformat
42,8,0,system,taskDump
43,0,1,system,selftestPassed
44,8,0,system,assertInfo
45,8,0,system,testLogParam
46,8,0,system,doAssert
47,8,0,loco,mode
48,8,0,loco,fwdToEstimator
49,6,0,tdoa2,stddev
50,6,0,tdoa3,stddev
51,9,0,multiranger,filterMask
52,8,1,usd,canLog
53,8,0,usd,logging
54,10,0,colorLedBot,wrgb8888
55,8,0,colorLedBot,brightCorr
56,10,0,colorLedTop,wrgb8888
57,8,0,colorLedTop,brightCorr
58,8,1,deckTest,bcColorLedBot
59,8,1,deckTest,bcColorLedTop
60,8,0,led,bitmask
61,8,0,motorPowerSet,enable
62,9,0,motorPowerSet,m1
63,9,0,motorPowerSet,m2
64,9,0,motorPowerSet,m3
65,9,0,motorPowerSet,m4
66,6,0,pm,lowVoltage
67,6,0,pm,criticalLowVoltage
68,8,1,imu_sensors,BMP3XX
69,6,0,imu_sensors,imuPhi
70,6,0,imu_sensors,imuTheta
71,6,0,imu_sensors,imuPsi
72,8,1,imu_sensors,AK8963
73,8,1,imu_sensors,LPS25H
74,8,1,imu_tests,MPU6500
75,8,1,imu_tests,AK8963
76,8,1,imu_tests,LPS25H
77,6,0,imu_tests,imuPhi
78,6,0,imu_tests,imuTheta
79,6,0,imu_tests,imuPsi
80,8,0,syslink,probe
81,8,0,usec,reset
82,8,0,colAv,enable
83,6,0,colAv,ellipsoidX
84,6,0,colAv,ellipsoidY
85,6,0,colAv,ellipsoidZ
86,6,0,colAv,bboxMinX
87,6,0,colAv,bboxMinY
88,6,0,colAv,bboxMinZ
89,6,0,colAv,bboxMaxX
90,6,0,colAv,bboxMaxY
91,6,0,colAv,bboxMaxZ
92,6,0,colAv,horizon
93,6,0,colAv,maxSpeed
94,6,0,colAv,sidestepThrsh
95,2,0,colAv,maxPeerLocAge
96,6,0,colAv,vorTol
97,2,0,colAv,vorIters
98,8,0,commander,enHighLevel
99,6,0,cppm,rateRoll
100,6,0,cppm,ratePitch
101,6,0,cppm,angPitch
102,6,0,cppm,angRoll
103,6,0,cppm,rateYaw
104,6,0,hlCommander,vtoff
105,6,0,hlCommander,vland
106,8,0,hlCommander,groupmask
107,8,0,flightmode,althold
108,8,0,flightmode,poshold
109,8,0,flightmode,posSet
110,8,0,flightmode,yawMode
111,8,0,flightmode,stabModeRoll
112,8,0,flightmode,stabModePitch
113,8,0,flightmode,stabModeYaw
114,8,0,locSrv,enRangeStreamFP32
115,8,0,locSrv,enLhAngleStream
116,8,0,locSrv,enLhMtchStm
117,8,0,locSrv,maxTimeLhMtchStm
118,8,0,locSrv,minBsLhMtchStm
119,6,0,locSrv,extPosStdDev
120,6,0,locSrv,extQuatStdDev
121,9,0,crtpsrv,echoDelay
122,8,0,health,startPropTest
123,8,0,health,startBatTest
124,6,0,health,propTestThreshold
125,6,0,health,propTestThresholdL
126,9,0,health,propTestPWMRatio
127,9,0,health,batTestPWMRatio
128,6,0,kalman,maxPos
129,6,0,kalman,maxVel
130,8,0,kalman,resetEstimation
131,8,0,kalman,robustTdoa
132,8,0,kalman,robustTwr
133,6,0,kalman,pNAcc_xy
134,6,0,kalman,pNAcc_z
135,6,0,kalman,pNVel
136,6,0,kalman,pNPos
137,6,0,kalman,pNAtt
138,6,0,kalman,mNBaro
139,6,0,kalman,mNGyro_rollpitch
140,6,0,kalman,mNGyro_yaw
141,6,0,kalman,initialX
142,6,0,kalman,initialY
143,6,0,kalman,initialZ
144,6,0,kalman,initialYaw
145,6,0,kalman,dragB_x
146,6,0,kalman,dragB_y
147,6,0,kalman,dragB_z
148,6,0,kalman,cop_x
149,6,0,kalman,cop_y
150,6,0,kalman,cop_z
151,10,0,led_deck_ctrl,rgb888
152,8,0,memTst,resetW
153,10,0,powerDist,idleThrust
154,6,0,sensfusion6,kp
155,6,0,sensfusion6,ki
156,6,0,sensfusion6,baseZacc
157,8,0,sound,effect
158,10,1,sound,neffect
159,9,0,sound,freq
160,8,0,stabilizer,estimator
161,8,0,stabilizer,controller
162,8,0,stabilizer,stop
163,8,0,supervisor,infdmp
164,9,0,supervisor,prefltTimeout
165,9,0,supervisor,landedTimeout
166,8,0,supervisor,tmblChckEn
167,9,0,supervisor,spinupTimeout
168,6,0,supervisor,crashDetectGs
169,9,1,cpu,flash
170,10,1,cpu,id0
171,10,1,cpu,id1
172,10,1,cpu,id2
173,8,0,tdoaEngine,logId
174,8,0,tdoaEngine,logOthrId
175,8,0,tdoaEngine,matchAlgo
176,6,0,flowdeck,flowdeckPos_x
177,6,0,flowdeck,flowdeckPos_y
178,6,0,flowdeck,flowdeckPos_z
179,8,0,lighthouse,method
180,8,0,lighthouse,bsCalibReset
181,8,0,lighthouse,systemType
182,9,1,lighthouse,bsAvailable
183,6,0,lighthouse,sweepStd
184,6,0,lighthouse,sweepStd2
185,8,0,lighthouse,fwdToEstimator
186,8,0,lighthouse,enLhRawStream
187,9,0,lighthouse,lh2maxRate
188,6,0,pid_attitude,roll_kp
189,6,0,pid_attitude,roll_ki
190,6,0,pid_attitude,roll_kd
191,6,0,pid_attitude,roll_kff
192,6,0,pid_attitude,pitch_kp
193,6,0,pid_attitude,pitch_ki
194,6,0,pid_attitude,pitch_kd
195,6,0,pid_attitude,pitch_kff
196,6,0,pid_attitude,yaw_kp
197,6,0,pid_attitude,yaw_ki
198,6,0,pid_attitude,yaw_kd
199,6,0,pid_attitude,yaw_kff
200,6,0,pid_attitude,yawMaxDelta
201,0,0,pid_attitude,attFiltEn
202,6,0,pid_attitude,attFiltCut
203,6,0,pid_rate,roll_kp
204,6,0,pid_rate,roll_ki
205,6,0,pid_rate,roll_kd
206,6,0,pid_rate,roll_kff
207,6,0,pid_rate,pitch_kp
208,6,0,pid_rate,pitch_ki
209,6,0,pid_rate,pitch_kd
210,6,0,pid_rate,pitch_kff
211,6,0,pid_rate,yaw_kp
212,6,0,pid_rate,yaw_ki
213,6,0,pid_rate,yaw_kd
214,6,0,pid_rate,yaw_kff
215,0,0,pid_rate,rateFiltEn
216,6,0,pid_rate,omxFiltCut
217,6,0,pid_rate,omyFiltCut
218,6,0,pid_rate,omzFiltCut
219,6,0,ctrlINDI,thrust_threshold
220,6,0,ctrlINDI,bound_ctrl_input
221,6,0,ctrlINDI,g1_p
222,6,0,ctrlINDI,g1_q
223,6,0,ctrlINDI,g1_r
224,6,0,ctrlINDI,g2
225,6,0,ctrlINDI,ref_err_p
226,6,0,ctrlINDI,ref_err_q
227,6,0,ctrlINDI,ref_err_r
228,6,0,ctrlINDI,ref_rate_p
229,6,0,ctrlINDI,ref_rate_q
230,6,0,ctrlINDI,ref_rate_r
231,6,0,ctrlINDI,act_dyn_p
232,6,0,ctrlINDI,act_dyn_q
233,6,0,ctrlINDI,act_dyn_r
234,6,0,ctrlINDI,filt_cutoff
235,6,0,ctrlINDI,filt_cutoff_r
236,8,0,ctrlINDI,outerLoopActive
237,6,0,ctrlMel,kp_xy
238,6,0,ctrlMel,kd_xy
239,6,0,ctrlMel,ki_xy
240,6,0,ctrlMel,i_range_xy
241,6,0,ctrlMel,kp_z
242,6,0,ctrlMel,kd_z
243,6,0,ctrlMel,ki_z
244,6,0,ctrlMel,i_range_z
245,6,0,ctrlMel,mass
246,6,0,ctrlMel,massThrust
247,6,0,ctrlMel,kR_xy
248,6,0,ctrlMel,kR_z
249,6,0,ctrlMel,kw_xy
250,6,0,ctrlMel,kw_z
251,6,0,ctrlMel,ki_m_xy
252,6,0,ctrlMel,ki_m_z
253,6,0,ctrlMel,kd_omega_rp
254,6,0,ctrlMel,i_range_m_xy
255,6,0,ctrlMel,i_range_m_z
256,6,0,ctrlAtt,tau_xy
257,6,0,ctrlAtt,zeta_xy
258,6,0,ctrlAtt,tau_z
259,6,0,ctrlAtt,zeta_z
260,6,0,ctrlAtt,tau_rp
261,6,0,ctrlAtt,mixing_factor
262,6,0,ctrlAtt,coll_fairness
263,6,0,posCtrlIndi,K_xi_x
264,6,0,posCtrlIndi,K_xi_y
265,6,0,posCtrlIndi,K_xi_z
266,6,0,posCtrlIndi,K_dxi_x
267,6,0,posCtrlIndi,K_dxi_y
268,6,0,posCtrlIndi,K_dxi_z
269,6,0,posCtrlIndi,pq_clamping
270,6,0,posCtlPid,xKp
271,6,0,posCtlPid,xKi
272,6,0,posCtlPid,xKd
273,6,0,posCtlPid,xKff
274,6,0,posCtlPid,yKp
275,6,0,posCtlPid,yKi
276,6,0,posCtlPid,yKd
277,6,0,posCtlPid,yKff
278,6,0,posCtlPid,zKp
279,6,0,posCtlPid,zKi
280,6,0,posCtlPid,zKd
281,6,0,posCtlPid,zKff
282,9,0,posCtlPid,thrustBase
283,9,0,posCtlPid,thrustMin
284,6,0,posCtlPid,rLimit
285,6,0,posCtlPid,pLimit
286,6,0,posCtlPid,xVelMax
287,6,0,posCtlPid,yVelMax
288,6,0,posCtlPid,zVelMax
289,6,0,velCtlPid,vxKp
290,6,0,velCtlPid,vxKi
291,6,0,velCtlPid,vxKd
292,6,0,velCtlPid,vxKFF
293,6,0,velCtlPid,vyKp
294,6,0,velCtlPid,vyKi
295,6,0,velCtlPid,vyKd
296,6,0,velCtlPid,vyKFF
297,6,0,velCtlPid,vzKp
298,6,0,velCtlPid,vzKi
299,6,0,velCtlPid,vzKd
300,6,0,velCtlPid,vzKFF
301,6,0,ctrlLee,KR_x
302,6,0,ctrlLee,KR_y
303,6,0,ctrlLee,KR_z
304,6,0,ctrlLee,KI_x
305,6,0,ctrlLee,KI_y
306,6,0,ctrlLee,KI_z
307,6,0,ctrlLee,Kw_x
308,6,0,ctrlLee,Kw_y
309,6,0,ctrlLee,Kw_z
310,6,0,ctrlLee,J_x
311,6,0,ctrlLee,J_y
312,6,0,ctrlLee,J_z
313,6,0,ctrlLee,Kpos_Px
314,6,0,ctrlLee,Kpos_Py
315,6,0,ctrlLee,Kpos_Pz
316,6,0,ctrlLee,Kpos_P_limit
317,6,0,ctrlLee,Kpos_Dx
318,6,0,ctrlLee,Kpos_Dy
319,6,0,ctrlLee,Kpos_Dz
320,6,0,ctrlLee,Kpos_D_limit
321,6,0,ctrlLee,Kpos_Ix
322,6,0,ctrlLee,Kpos_Iy
323,6,0,ctrlLee,Kpos_Iz
324,6,0,ctrlLee,Kpos_I_limit
325,6,0,ctrlLee,mass
326,6,0,posEstAlt,estAlphaAsl
327,6,0,posEstAlt,estAlphaZr
328,6,0,posEstAlt,velFactor
329,6,0,posEstAlt,velZAlpha
330,6,0,posEstAlt,vAccDeadband
331,10,1,firmware,revision0
332,9,1,firmware,revision1
333,8,1,firmware,modified
